year,school_id,cipcode,major_number,total,instnm
2005,186131,42.0101,1,49,Princeton University
2005,186131,44.0501,1,78,Princeton University
2005,186131,45.0201,1,17,Princeton University
2005,186131,45.0601,1,107,Princeton University
2005,186131,45.1001,1,132,Princeton University
2005,186131,45.1101,1,35,Princeton University
2005,186131,50.0703,1,26,Princeton University
2005,186131,50.0901,1,8,Princeton University
2005,186131,54.0101,1,123,Princeton University
2005,190150,04.0201,1,22,Columbia University in the City of New York
2005,190150,05.0104,1,13,Columbia University in the City of New York
2005,190150,05.0104,2,2,Columbia University in the City of New York
2005,190150,05.9999,1,33,Columbia University in the City of New York
2005,190150,05.9999,2,13,Columbia University in the City of New York
2005,190150,11.0101,1,61,Columbia University in the City of New York
2005,190150,11.0101,2,4,Columbia University in the City of New York
2005,190150,13.0101,1,0,Columbia University in the City of New York
2005,190150,13.0101,2,0,Columbia University in the City of New York
2005,190150,14.0501,1,56,Columbia University in the City of New York
2005,190150,14.0701,1,21,Columbia University in the City of New York
2005,190150,14.0801,1,28,Columbia University in the City of New York
2005,190150,14.0901,1,17,Columbia University in the City of New York
2005,190150,14.1001,1,27,Columbia University in the City of New York
2005,190150,14.1101,1,1,Columbia University in the City of New York
2005,190150,14.1201,1,14,Columbia University in the City of New York
2005,190150,14.1901,1,38,Columbia University in the City of New York
2005,190150,14.2001,1,6,Columbia University in the City of New York
2005,190150,14.2101,1,3,Columbia University in the City of New York
2005,190150,14.3501,1,65,Columbia University in the City of New York
2005,190150,14.9999,1,0,Columbia University in the City of New York
2005,190150,16.0104,1,15,Columbia University in the City of New York
2005,190150,16.0402,1,1,Columbia University in the City of New York
2005,190150,16.0402,2,3,Columbia University in the City of New York
2005,190150,16.0501,1,1,Columbia University in the City of New York
2005,190150,16.0501,2,1,Columbia University in the City of New York
2005,190150,16.0901,1,8,Columbia University in the City of New York
2005,190150,16.0901,2,8,Columbia University in the City of New York
2005,190150,16.0902,1,2,Columbia University in the City of New York
2005,190150,16.0902,2,1,Columbia University in the City of New York
2005,190150,16.0905,1,14,Columbia University in the City of New York
2005,190150,16.0905,2,13,Columbia University in the City of New York
2005,190150,16.1199,1,10,Columbia University in the City of New York
2005,190150,16.1199,2,10,Columbia University in the City of New York
2005,190150,16.1200,1,12,Columbia University in the City of New York
2005,190150,16.1200,2,4,Columbia University in the City of New York
2005,190150,16.9999,1,0,Columbia University in the City of New York
2005,190150,16.9999,2,0,Columbia University in the City of New York
2005,190150,23.0101,1,142,Columbia University in the City of New York
2005,190150,23.0101,2,14,Columbia University in the City of New York
2005,190150,23.0501,1,18,Columbia University in the City of New York
2005,190150,23.0801,1,0,Columbia University in the City of New York
2005,190150,24.0101,1,3,Columbia University in the City of New York
2005,190150,24.0101,2,0,Columbia University in the City of New York
2005,190150,24.0103,1,7,Columbia University in the City of New York
2005,190150,24.0103,2,3,Columbia University in the City of New York
2005,190150,26.0202,1,12,Columbia University in the City of New York
2005,190150,26.0202,2,1,Columbia University in the City of New York
2005,190150,26.0203,1,1,Columbia University in the City of New York
2005,190150,26.9999,1,49,Columbia University in the City of New York
2005,190150,26.9999,2,5,Columbia University in the City of New York
2005,190150,27.0101,1,21,Columbia University in the City of New York
2005,190150,27.0101,2,19,Columbia University in the City of New York
2005,190150,27.0301,1,26,Columbia University in the City of New York
